,R_mean,R_median,R_std,G_mean,G_median,G_std,B_mean,B_median,B_std,IR_mean,IR_median,IR_std,DomCol1_R,DomCol1_G,DomCol1_B,DomCol2_R,DomCol2_G,DomCol2_B,Edge_mean,Edge_median,Edge_std
417,0.702597,0.0,2.2316210376295977,27.554739,27.0,4.626085779779596,47.272214,47.0,4.192150944110195,0.060974,0.0,1.089894568902883,0.003938022953700677,0.12070147706388087,0.19381796713659924,0.0013736824748380029,0.09765088677779968,0.19381796713659924,0.0003461017447950882,0.0,0.004341180922090271
418,0.620713,0.0,2.8099481083520037,23.717814,23.0,4.761329967709023,45.904773,46.0,4.794785586287566,0.105574,0.0,1.8085265081065305,0.0019362056505415452,0.09222604805468432,0.17915239572654404,0.3272299117762223,0.5589359402840753,0.17915239572654404,0.0006327539966734169,0.0,0.007318128249777645
419,0.532772,0.0,2.6869183084001635,23.647252,23.0,4.285010950802342,45.623512,45.0,4.721774114234607,0.120449,0.0,1.7483835501396716,0.0015554899584848765,0.09187574102533305,0.17796627528643336,0.29786136433852906,0.5246672071269435,0.17796627528643336,0.0006986632630521714,0.0,0.007038545436064861
420,1.005843,0.0,4.459609720519388,24.236371,23.0,7.266086274629484,44.093553,43.0,7.7879950459788425,0.382564,0.0,2.956827148465733,0.00217770131503575,0.0921246210376958,0.16968396984850015,0.267922475312491,0.4834736310949323,0.16968396984850015,0.002016252158574498,0.0,0.011445594532041824
421,1.610943,0.0,6.45629798342293,22.352783,20.0,9.818103847225851,40.569715,39.0,10.9579289931435,0.782414,0.0,4.533801973245414,0.002964154949207388,0.08222006057005785,0.15296745605825823,0.07075175424558731,0.19929396264708163,0.15296745605825823,0.003960586690958007,0.0,0.0171766070895946
422,1.964365,0.0,7.783844239627037,21.3954,19.0,11.415945639323974,36.643637,34.0,12.29523267011369,1.079746,0.0,5.927775347926403,0.0036136484671704058,0.07751161240162886,0.136666127147028,0.33899457232851177,0.5379383490498677,0.136666127147028,0.005521411282194742,0.0,0.022185766323751688
423,0.467825,0.0,1.153719536705087,21.078266,21.0,2.046685719216314,42.442703,42.0,2.5855871777588555,0.013373,0.0,0.3772905549718944,0.0008630652088318381,0.0806086233856292,0.16366732796245817,0.0735522483586098,0.2045686157356936,0.16366732796245817,7.380868227200819e-05,0.0,0.0015158182318549048
424,25.365761,1.0,42.87985757778212,43.845974,21.0,39.74470153355443,57.907419,44.0,26.852261836918665,37.386419,0.0,67.774072500894,0.010921138679768365,0.0904425628757646,0.17483918606661328,0.4613259976478415,0.5098934071669154,0.17483918606661328,0.012716212010387822,0.0,0.029741416580572173
425,0.380497,0.0,0.7197756824115411,19.897588,20.0,1.1897729961030383,44.236124,44.0,1.6612078306533469,0.00076,0.0,0.11921167056962183,2.189002111778767e-06,0.07933089942766883,0.17674422698787073,0.0005951164068331361,0.07471874579538595,0.17674422698787073,5.181296857789273e-06,0.0,0.0005038167183120884
426,0.413951,0.0,1.1172831197145152,20.648283,20.0,2.0881619074944835,45.809104,46.0,2.1264074673458047,0.010802,0.0,0.4765955484433315,0.0006997005519155747,0.07773830862246346,0.17655456122512114,0.0032432042009103413,0.08696120134765487,0.17655456122512114,6.120915396051239e-05,0.0,0.001938482007572254
427,0.505934,0.0,1.9298779203991119,21.560597,20.0,4.502814009437987,46.474292,46.0,3.59653709820099,0.045114,0.0,1.040034964318027,0.0013586231538112682,0.07742790077371968,0.1790553227469162,0.1560479938794855,0.3412675385077787,0.1790553227469162,0.0002671083645201435,0.0,0.004224013061011583
428,0.658984,0.0,3.3125926534580135,19.862044,19.0,5.548239192938963,45.818372,45.0,5.675840842519811,0.143872,0.0,2.1515689269962976,0.0018365207966944618,0.07658677310741092,0.17827411352965356,0.07143658234249761,0.21082355997261618,0.17827411352965356,0.0008808035489085008,0.0,0.008786084718765004
429,0.788814,0.0,3.98668213849612,19.784861,19.0,6.25734657907639,46.065605,45.0,6.712177663320226,0.214318,0.0,2.6815965011306226,0.0020538049798399316,0.07580244462950496,0.17872083434739744,0.32843224668162757,0.553929654653761,0.17872083434739744,0.0013142585176762732,0.0,0.010957185412726276
